invoice_id,company_code,customer_segment,invoice_amount,payment_terms_days,days_to_pay,late_payment_flag
INV100180,1000,C,1990.9,60,68,1
INV100181,1000,A,1811.35,30,34,1
INV100182,3000,A,2349.98,45,44,0
INV100183,3000,B,3693.71,60,61,1
INV100184,1000,C,3196.25,30,35,1
INV100185,2000,B,741.79,60,58,0
INV100186,3000,B,390.59,45,47,1
INV100187,2000,A,3167.16,14,14,0
INV100188,2000,B,796.22,30,30,0
INV100189,1000,A,1579.94,45,37,0
INV100190,1000,B,895.99,14,9,0
INV100191,3000,B,613.27,30,27,0
INV100192,3000,B,2502.08,30,27,0
INV100193,2000,A,2851.19,45,46,1
INV100194,1000,A,1279.33,14,30,1
INV100195,1000,B,381.98,60,61,1
INV100196,2000,A,1302.78,60,58,0
INV100197,3000,B,2287.2,60,63,1
INV100198,3000,A,744.46,45,47,1
INV100199,3000,B,2018.31,30,30,0
INV100200,2000,B,1791.51,45,44,0
INV100201,1000,A,2559.52,14,11,0
INV100202,1000,B,1942.53,14,20,1
INV100203,3000,A,1008.44,30,25,0
INV100204,2000,A,3706.87,30,32,1
INV100205,1000,C,1643.99,45,49,1
INV100206,1000,B,1778.66,45,51,1
INV100207,2000,C,1032.81,30,37,1
INV100208,1000,A,1385.8,30,28,0
INV100209,1000,B,1063.28,60,53,0
INV100210,2000,B,1629.83,30,27,0
INV100211,2000,B,5049.4,30,34,1
INV100212,2000,B,793.82,30,35,1
INV100213,1000,B,686.68,45,48,1
INV100214,2000,B,4370.8,45,49,1
INV100215,1000,C,1594.64,30,36,1
INV100216,1000,C,1210.22,14,24,1
INV100217,2000,C,3374.3,45,57,1
INV100218,2000,A,1257.19,45,47,1
INV100219,3000,B,5407.84,30,35,1
INV100220,2000,C,2715.57,60,62,1
INV100221,2000,A,1349.18,30,26,0
INV100222,1000,A,6597.1,30,24,0
INV100223,1000,B,1257.11,60,56,0
INV100224,1000,B,2822.16,30,28,0
INV100225,1000,C,2163.7,45,41,0
INV100226,3000,A,3948.32,30,26,0
INV100227,1000,B,4614.26,30,33,1
INV100228,3000,A,1843.1,60,59,0
INV100229,2000,A,1150.5,30,23,0
INV100230,3000,A,2382.69,60,55,0
INV100231,2000,C,1203.96,30,33,1
INV100232,2000,B,6051.32,30,20,0
INV100233,2000,B,1962.4,14,17,1
INV100234,1000,B,1452.16,45,39,0
INV100235,2000,C,2019.91,30,36,1
INV100236,1000,B,805.71,60,67,1
INV100237,1000,C,1009.32,30,19,0
INV100238,2000,B,3715.42,60,61,1
INV100239,1000,B,1219.09,30,39,1
INV100240,3000,B,964.73,60,66,1
INV100241,3000,B,2494.87,45,46,1
INV100242,3000,B,3682.78,45,43,0
INV100243,1000,B,2783.24,45,49,1
INV100244,1000,A,3286.66,45,39,0
INV100245,3000,C,1148.17,45,56,1
INV100246,2000,B,770.4,30,44,1
INV100247,3000,B,4450.63,14,16,1
INV100248,3000,C,1489.79,60,62,1
INV100249,3000,B,1555.42,45,36,0
INV100250,1000,A,4011.48,45,39,0
INV100251,1000,C,2524.35,30,33,1
INV100252,3000,B,2376.85,30,26,0
INV100253,1000,B,6627.62,30,36,1
INV100254,1000,A,1228.92,45,43,0
INV100255,2000,B,3154.87,30,28,0
INV100256,3000,B,1870.96,30,31,1
INV100257,2000,B,2124.21,30,34,1
INV100258,2000,C,4523.68,14,13,0
INV100259,1000,B,2452.1,30,28,0
INV100260,2000,A,2497.33,30,20,0
INV100261,3000,B,3440.96,45,43,0
INV100262,1000,A,1452.48,30,33,1
INV100263,2000,B,1092.77,30,31,1
INV100264,3000,A,965.95,14,16,1
INV100265,2000,B,555.68,14,16,1
INV100266,2000,B,6208.81,30,29,0
INV100267,2000,C,932.69,30,35,1
INV100268,1000,B,1583.27,45,33,0
INV100269,1000,C,1531.36,30,39,1
INV100270,3000,A,2174.26,45,50,1
INV100271,3000,C,2949.65,60,71,1
INV100272,3000,A,3029.9,45,43,0
INV100273,3000,B,1274.3,14,12,0
INV100274,2000,B,1635.54,30,33,1
INV100275,2000,A,2142.11,30,34,1
INV100276,3000,A,1557.42,30,26,0
INV100277,2000,B,4742.92,60,63,1
INV100278,2000,B,2427.42,30,23,0
INV100279,3000,B,2809.96,30,19,0
INV100280,3000,B,2691.16,45,42,0
INV100281,1000,B,3655.85,45,39,0
INV100282,1000,A,2015.48,30,25,0
INV100283,1000,B,830.39,14,12,0
INV100284,2000,A,2298.04,30,36,1
INV100285,1000,C,1223.15,30,38,1
INV100286,2000,B,1316.63,14,8,0
INV100287,2000,B,2570.4,30,35,1
INV100288,1000,B,3800.81,14,14,0
INV100289,2000,C,1831.27,14,19,1
INV100290,1000,A,2176.12,30,22,0
INV100291,1000,B,5020.72,30,32,1
INV100292,3000,B,2089.02,30,25,0
INV100293,1000,B,8612.84,45,41,0
INV100294,1000,A,2538.44,45,46,1
INV100295,2000,C,628.63,30,41,1
INV100296,3000,C,2841.27,30,37,1
INV100297,1000,B,2272.63,30,33,1
INV100298,2000,B,3920.02,45,42,0
INV100299,1000,C,2707.85,45,49,1
INV100300,1000,B,1663.91,14,9,0
INV100301,2000,A,867.33,60,61,1
INV100302,2000,B,1594.93,14,13,0
INV100303,2000,B,1085.38,30,25,0
INV100304,2000,B,1276.26,45,32,0
INV100305,3000,B,2573.82,60,59,0
INV100306,2000,C,4924.33,45,64,1
INV100307,1000,C,2291.14,45,49,1
INV100308,3000,B,882.25,30,30,0
INV100309,1000,A,2360.81,45,43,0
INV100310,2000,C,3707.0,14,27,1
INV100311,1000,C,1254.05,60,70,1
INV100312,1000,A,1668.35,30,29,0
INV100313,3000,C,1824.05,45,52,1
INV100314,3000,C,1128.97,30,32,1
INV100315,2000,B,2667.69,45,53,1
INV100316,2000,B,1681.48,30,24,0
INV100317,1000,B,2325.57,45,38,0
INV100318,1000,A,1061.57,14,13,0
INV100319,1000,B,1390.65,14,15,1
INV100320,2000,C,2788.97,30,36,1
INV100321,2000,A,1445.63,30,32,1
INV100322,2000,B,5095.83,60,56,0
INV100323,1000,B,1422.57,30,29,0
INV100324,3000,B,2068.98,60,52,0
INV100325,2000,C,3163.88,30,39,1
INV100326,2000,B,772.0,30,30,0
INV100327,2000,B,628.61,45,46,1
INV100328,2000,B,723.87,45,39,0
INV100329,1000,B,3856.64,30,27,0
INV100330,1000,A,1298.4,30,25,0
INV100331,3000,B,8391.04,45,51,1
INV100332,1000,A,1288.78,30,29,0
INV100333,1000,A,2019.75,60,60,0
INV100334,1000,B,4560.86,60,66,1
INV100335,1000,B,6024.9,45,53,1
INV100336,3000,C,6228.57,30,27,0
INV100337,2000,B,3733.2,45,39,0
INV100338,2000,B,3342.38,14,13,0
INV100339,1000,B,2579.93,14,16,1
INV100340,2000,A,2884.24,30,33,1
INV100341,2000,B,1298.92,30,28,0
INV100342,1000,A,1106.64,60,57,0
INV100343,2000,C,1804.39,45,56,1
INV100344,1000,A,1632.53,45,48,1
INV100345,2000,B,1377.55,30,30,0
INV100346,2000,A,2745.81,30,26,0
INV100347,1000,C,3207.29,30,38,1
INV100348,1000,B,1906.54,60,49,0
INV100349,2000,B,4387.51,14,22,1
INV100350,2000,A,911.4,60,50,0
INV100351,3000,B,1609.7,30,28,0
INV100352,2000,A,1176.04,30,28,0
INV100353,1000,C,589.97,45,58,1
INV100354,1000,A,1720.54,30,22,0
INV100355,2000,A,1680.68,60,56,0
INV100356,1000,A,4483.1,60,57,0
INV100357,2000,B,2639.88,30,32,1
INV100358,3000,B,977.98,30,39,1
INV100359,2000,A,5499.74,30,28,0
INV100360,1000,B,3761.68,60,54,0
INV100361,2000,B,2563.83,30,25,0
INV100362,2000,B,1578.31,45,47,1
INV100363,2000,B,1016.72,45,52,1
INV100364,3000,B,1446.17,45,47,1
INV100365,1000,B,3474.65,30,28,0
INV100366,3000,A,5601.29,45,40,0
INV100367,3000,A,4563.96,60,63,1
INV100368,1000,C,1348.42,30,31,1
INV100369,1000,C,923.55,30,35,1
INV100370,1000,B,1967.53,60,60,0
INV100371,1000,A,625.74,30,38,1
INV100372,1000,B,2194.92,60,58,0
INV100373,2000,B,1654.8,30,27,0
INV100374,1000,A,1367.01,30,31,1
INV100375,1000,A,694.49,60,57,0
INV100376,3000,B,2460.6,30,37,1
INV100377,1000,B,1313.41,30,27,0
INV100378,3000,A,896.1,30,21,0
INV100379,1000,A,322.67,30,26,0
INV100380,1000,A,1778.44,30,20,0
INV100381,2000,B,5236.2,30,24,0
INV100382,2000,A,4898.85,60,62,1
INV100383,3000,A,1374.36,30,22,0
INV100384,2000,B,1259.76,45,48,1
INV100385,3000,A,2395.3,30,30,0
INV100386,1000,B,993.24,45,55,1
INV100387,1000,A,2166.95,30,23,0
INV100388,3000,A,2863.07,60,57,0
INV100389,3000,A,3775.02,30,21,0
INV100390,3000,B,1702.59,30,35,1
INV100391,2000,C,1600.06,14,23,1
INV100392,1000,C,1067.64,30,28,0
INV100393,3000,B,1100.89,30,24,0
INV100394,1000,B,1578.31,30,32,1
INV100395,3000,A,2253.9,45,47,1
INV100396,3000,A,3128.01,30,15,0
INV100397,2000,C,1116.65,30,38,1
INV100398,3000,A,4427.6,45,47,1
INV100399,3000,A,1536.6,45,49,1
INV100400,1000,A,1785.01,30,20,0
INV100401,3000,A,1154.79,30,25,0
INV100402,2000,A,422.19,14,13,0
INV100403,3000,B,3073.05,45,42,0
INV100404,1000,B,2813.28,45,45,0
INV100405,3000,C,1527.22,30,26,0
INV100406,1000,C,1882.2,45,50,1
INV100407,1000,B,2464.05,45,48,1
INV100408,3000,A,708.02,30,27,0
INV100409,1000,B,1316.28,60,57,0
INV100410,1000,B,2911.89,30,36,1
INV100411,3000,A,851.86,30,22,0
INV100412,3000,B,2156.27,30,32,1
INV100413,2000,B,801.15,14,18,1
INV100414,2000,B,2391.94,30,29,0
INV100415,2000,B,1769.79,60,57,0
INV100416,1000,A,686.03,14,23,1
INV100417,1000,C,3636.74,30,40,1
INV100418,2000,B,1163.57,30,26,0
INV100419,3000,A,1111.93,60,55,0
INV100420,3000,C,2039.26,30,41,1
INV100421,3000,B,3601.78,30,33,1
INV100422,1000,C,982.9,14,15,1
INV100423,2000,B,1876.21,30,25,0
INV100424,1000,B,2338.56,60,58,0
INV100425,2000,A,2740.41,60,63,1
INV100426,2000,A,2009.95,14,29,1
INV100427,3000,B,1450.67,60,59,0
INV100428,1000,B,1100.42,45,48,1
INV100429,1000,A,1903.95,60,62,1
INV100430,1000,A,950.24,30,37,1
INV100431,3000,C,313.31,30,39,1
INV100432,2000,C,2349.45,30,40,1
INV100433,1000,B,3109.95,45,42,0
INV100434,1000,A,438.01,30,23,0
INV100435,2000,A,986.5,14,16,1
INV100436,1000,A,2621.48,30,34,1
INV100437,3000,C,6213.61,45,52,1
INV100438,2000,A,1830.74,30,22,0
INV100439,1000,B,1168.18,45,48,1
INV100440,1000,A,1620.13,60,62,1
INV100441,3000,B,4125.43,14,14,0
INV100442,1000,B,1227.12,45,37,0
INV100443,1000,C,1119.33,30,36,1
INV100444,3000,A,1353.37,60,62,1
INV100445,3000,A,1020.45,30,28,0
INV100446,3000,A,1946.14,45,41,0
INV100447,3000,C,4792.5,45,54,1
INV100448,1000,C,2194.8,60,56,0
INV100449,1000,B,1554.0,45,50,1
INV100450,3000,B,1517.64,30,28,0
INV100451,2000,B,707.75,45,41,0
INV100452,2000,A,3071.33,60,61,1
INV100453,3000,C,1725.54,30,42,1
INV100454,1000,B,1622.48,14,17,1
INV100455,2000,B,12281.69,60,53,0
INV100456,1000,B,2163.0,45,51,1
INV100457,2000,A,1151.62,45,44,0
INV100458,1000,A,1399.94,30,25,0
INV100459,1000,B,3601.36,45,47,1
INV100460,1000,A,1935.19,30,20,0
INV100461,2000,B,762.83,45,37,0
INV100462,2000,A,3138.62,30,32,1
INV100463,2000,B,1210.89,45,53,1
INV100464,3000,A,5563.48,60,52,0
INV100465,1000,B,3456.56,14,8,0
INV100466,1000,B,1382.44,60,66,1
INV100467,3000,A,3899.52,30,26,0
INV100468,1000,B,1883.17,60,61,1
INV100469,3000,B,3015.93,45,48,1
INV100470,1000,B,2418.35,30,36,1
INV100471,3000,C,1088.1,45,56,1
INV100472,1000,B,1228.89,60,53,0
INV100473,3000,A,3354.23,30,26,0
INV100474,2000,A,1479.02,30,21,0
INV100475,3000,A,1419.15,45,45,0
INV100476,1000,B,1019.36,45,45,0
INV100477,2000,A,2331.25,45,39,0
INV100478,3000,B,6232.39,45,40,0
INV100479,2000,B,952.87,30,34,1
INV100480,2000,B,1834.51,45,50,1
INV100481,2000,B,4218.91,30,21,0
INV100482,2000,A,1723.68,30,20,0
INV100483,2000,A,2371.84,14,9,0
INV100484,2000,B,955.81,30,23,0
INV100485,3000,B,2337.84,30,25,0
INV100486,1000,B,1616.01,30,25,0
INV100487,1000,B,3266.38,45,46,1
INV100488,3000,A,3686.5,30,27,0
INV100489,3000,C,8550.44,30,34,1
INV100490,2000,B,2560.04,30,29,0
INV100491,2000,B,2198.38,30,38,1
INV100492,1000,A,2031.7,30,32,1
INV100493,1000,B,1462.79,14,18,1
INV100494,2000,B,2215.18,45,49,1
INV100495,1000,A,1514.38,45,39,0
INV100496,2000,C,2000.35,45,54,1
INV100497,1000,A,3986.06,30,25,0
INV100498,3000,C,988.39,30,38,1
INV100499,3000,B,3582.9,60,62,1
